name,country_name,points
Roger Federer,Switzerland,2385
Novak Djokovic,Serbia,2363
Rafael Nadal,Spain,2350
Andy Murray,United Kingdom,2341
Juan Martin del Potro,Argentina,2293
Nikolay Davydenko,Russian Federation,2258
Andy Roddick,United States,2204
Robin Soderling,Sweden,2195
Fernando Gonzalez,Chile,2138
Fernando Verdasco,Spain,2129
Jo Wilfried Tsonga,France,2128
David Nalbandian,Argentina,2122
Radek Stepanek,Czech Republic,2122
Gael Monfils,France,2117
Marin Cilic,Croatia,2102
Lleyton Hewitt,Australia,2092
Juan Carlos Ferrero,Spain,2077
David Ferrer,Spain,2071
Mario Ancic,Croatia,2070
Tommy Haas,Germany,2067
Mikhail Youzhny,Russian Federation,2060
Gilles Simon,France,2059
Tomas Berdych,Czech Republic,2053
Tommy Robredo,Spain,2052
Stan Wawrinka,Switzerland,2049
Richard Gasquet,France,2030
Ivan Ljubicic,Croatia,2029
Sam Querrey,United States,2020
Jurgen Melzer,Austria,2017
Philipp Kohlschreiber,Germany,2011
Marcos Baghdatis,Cyprus,2010
James Blake,United States,2007
Juan Monaco,Argentina,1996
Nicolas Almagro,Spain,1986
Mardy Fish,United States,1967
Janko Tipsarevic,Serbia,1964
Ivo Karlovic,Croatia,1964
Nicolas Kiefer,Germany,1964
Viktor Troicki,Serbia,1955
Albert Montanes,Spain,1953
John Isner,United States,1951
Jeremy Chardy,France,1942
Julien Benneteau,France,1938
Marat Safin,Russian Federation,1930
Paul Henri Mathieu,France,1929
Andreas Seppi,Italy,1922
Ernests Gulbis,Latvia,1920
Michael Llodra,France,1919
Joachim Johansson,Sweden,1919
Carlos Moya,Spain,1916
Feliciano Lopez,Spain,1914
Dmitry Tursunov,Russian Federation,1911
Guillermo Garcia Lopez,Spain,1910
Xavier Malisse,Belgium,1901
Jose Acasuso,Argentina,1897
Fabrice Santoro,France,1891
Juan Ignacio Chela,Argentina,1888
Arnaud Clement,France,1886
Igor Andreev,Russian Federation,1884
Florent Serra,France,1883
Jarkko Nieminen,Finland,1882
Nicolas Lapentti,Ecuador,1881
Marc Gicquel,France,1880
Victor Hanescu,Romania,1878
Olivier Rochus,Belgium,1877
Sergiy Stakhovsky,Ukraine,1876
Simone Bolelli,Italy,1875
Marco Chiudinelli,Switzerland,1873
Evgeny Korolev,Kazakhstan,1869
Thomaz Bellucci,Brazil,1868
Kei Nishikori,Japan,1865
Nicolas Massu,Chile,1863
Leonardo Mayer,Argentina,1863
Philipp Petzschner,Germany,1856
Pablo Cuevas,Uruguay,1854
Takao Suzuki,Japan,1852
Frank Dancevic,Canada,1851
Taylor Dent,United States,1848
Robby Ginepri,United States,1847
Fabio Fognini,Italy,1845
Sebastien Grosjean,France,1843
Dudi Sela,Israel,1843
Nicolas Mahut,France,1841
Maximo Gonzalez,Argentina,1839
Andreas Beck,Germany,1839
Potito Starace,Italy,1836
Wayne Odesnik,United States,1835
Somdev Devvarman,India,1831
Hyung Taik Lee,"Korea, Republic of",1831
Stefan Koubek,Austria,1827
Lukasz Kubot,Poland,1827
Chris Guccione,Australia,1825
Simon Greul,Germany,1825
Horacio Zeballos,Argentina,1824
Guillermo Canas,Argentina,1822
Gilles Muller,Luxembourg,1821
Ramon Delgado,Paraguay,1820
Amer Delic,Bosnia and Herzegovina,1819
Igor Kunitsyn,Russian Federation,1818
Denis Istomin,Uzbekistan,1816
Frederico Gil,Portugal,1811
Kristof Vliegen,Belgium,1811
Raemon Sluiter,Netherlands,1810
Mischa Zverev,Germany,1810
Rainer Schuettler,Germany,1809
Carsten Ball,Australia,1808
Jesse Levine,Canada,1806
Karol Beck,Slovakia,1802
Benjamin Becker,Germany,1801
Gaston Gaudio,Argentina,1797
Mikhail Kukushkin,Kazakhstan,1797
Jan Hernych,Czech Republic,1793
Ivan Navarro,Spain,1791
Marcel Granollers,Spain,1790
Robert Kendrick,United States,1788
Josselin Ouanna,France,1787
Daniel Brands,Germany,1784
Agustin Calleri,Argentina,1783
Luis Horna,Peru,1783
Bjorn Phau,Germany,1782
Jan Hajek,Czech Republic,1782
Flavio Cipolla,Italy,1782
Rajeev Ram,United States,1780
Dominik Hrbaty,Slovakia,1778
Alejandro Falla,Colombia,1777
Teymuraz Gabashvili,Russian Federation,1774
Thiemo De Bakker,Netherlands,1774
Oscar Hernandez,Spain,1773
Florian Mayer,Germany,1772
Kevin Anderson,South Africa,1772
Edouard Roger Vasselin,France,1771
Daniel Gimeno Traver,Spain,1770
Michael Russell,United States,1769
Illya Marchenko,Ukraine,1768
Christophe Rochus,Belgium,1767
Steve Darcis,Belgium,1767
Victor Estrella,Dominican Republic,1766
Cecil Mamiit,Philippines,1766
Jean Rene Lisnard,Monaco,1766
Paul Capdeville,Chile,1765
Ivo Minar,Czech Republic,1763
Daniel Koellerer,Austria,1762
Kevin Kim,United States,1762
Sebastien De Chaunac,France,1762
Marcos Daniel,Brazil,1760
Santiago Ventura,Spain,1757
Grega Zemlja,Slovenia,1756
Michael Berrer,Germany,1755
Andis Juska,Latvia,1755
Brian Dabul,Argentina,1753
Prakash Amritraj,India,1753
Harel Levy,Israel,1752
Mohammad Ghareeb,Kuwait,1749
Todd Widom,United States,1744
Alex Bogomolov Jr,Russian Federation,1743
Rohan Bopanna,India,1741
Andrei Pavel,Romania,1741
Michal Przysiezny,Poland,1740
Bobby Reynolds,United States,1739
Denis Gremelmayr,Germany,1736
Jose Rubin Statham,New Zealand,1733
Victor Crivoi,Romania,1732
Andrey Golubev,Kazakhstan,1732
Andreas Vinciguerra,Sweden,1730
Ruben Ramirez Hidalgo,Spain,1730
Vincent Spadea,United States,1728
Rik De Voest,South Africa,1727
Lukas Dlouhy,Czech Republic,1725
Martin Vassallo Arguello,Argentina,1722
Yen Hsun Lu,"Taiwan, Province of China",1721
Jose De Armas,"Venezuela, Bolivarian Republic of",1720
Benjamin Balleret,Monaco,1720
Rui Machado,Portugal,1719
Stephane Bohli,Switzerland,1718
Adrian Mannarino,France,1714
Lamine Ouahab,Algeria,1713
Shao Xuan Zeng,China,1712
Thiago Alves,Brazil,1710
Frederic Niemeyer,Canada,1710
Eduardo Schwank,Argentina,1708
Conor Niland,Ireland,1708
Alberto Martin,Spain,1706
Nicolas Devilder,France,1700
Ryan Sweeting,United States,1699
Ricardo Mello,Brazil,1698
Go Soeda,Japan,1696
Izak Van Der Merwe,South Africa,1695
Filippo Volandri,Italy,1695
Blaz Kavcic,Slovenia,1694
Alexander Peya,Austria,1694
Daniel King Turner,New Zealand,1693
Peter Luczak,Australia,1689
Lukas Lacko,Slovakia,1689
Diego Junqueira,Argentina,1687
Brendan Evans,United States,1686
Devin Mullings,Bahamas,1680
Danai Udomchoke,Thailand,1680
Grigor Dimitrov,Bulgaria,1680
Giovanni Lapentti,Ecuador,1678
Pablo Andujar,Spain,1675
Peter Polansky,Canada,1675
Ti Chen,"Taiwan, Province of China",1672
Santiago Gonzalez,Mexico,1672
Kyu Tae Im,"Korea, Republic of",1669
Lazar Magdincev,"North Macedonia, Republic of",1666
Roko Karanusic,Croatia,1658
Thierry Ascione,France,1649
Bruno Echagaray,Mexico,1649
Jesse Huta Galung,Netherlands,1647
Aqeel Khan,Pakistan,1641
Yew Ming Si,Malaysia,1637
Santiago Giraldo,Colombia,1635
Michael Lammer,Switzerland,1629
Sergio Roitman,Argentina,1628
Alex Bogdanovic,United Kingdom,1626
Federico Sansonetti,Uruguay,1611
Donald Young,United States,1611
Joshua Goodall,United Kingdom,1603
Dieter Kindlmann,Germany,1600
Farrukh Dustov,Uzbekistan,1599
Frederik Nielsen,Denmark,1584
